time,email,f,m,l,,school,how,class
1112023 18:20:32,student314@gmail.com,student,stud,314,student314@gmail.comstudent314,Mater Dei High School,High school counselor,Electrical Technology
1112023 18:04:57,student315@gmail.com,student,stud,315,student315@gmail.comstudent315,Evansville Christian School,Friend and Family Member,Electrical Technology
1112023 17:30:23,student316@gmail.com,student,stud,316,student316@gmail.comstudent316,North High School,"SICTC Website, Current SITCTC Student",Electrical Technology
1112023 18:04:35,student317@gmail.com,student,stud,317,student317@gmail.comstudent317,North High School,SICTC Information Meeting at High School,Electrical Technology
1112023 18:45:50,student318@gmail.com,student,stud,318,student318@gmail.comstudent318,Castle High School,High school counselor,Electrical Technology
1112023 17:39:42,student319@gmail.com,student,stud,319,student319@gmail.comstudent319,Reitz High School,"High school counselor, Informational posters, Friend and Family Member, SICTC Alumni, Current SITCTC Student, SICTC Information Meeting at High School",Electrical Technology
1112023 18:05:50,student320@gmail.com,student,stud,320,student320@gmail.comstudent320,Tecumseh High School,"High school counselor, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Electrical Technology
1112023 18:01:20,student321@gmail.com,student,stud,321,student321@gmail.comstudent321,Memorial High School,High school counselor,Electrical Technology
1112023 18:40:53,student322@gmail.com,student,stud,322,student322@gmail.comstudent322,Gibson Southern High School,Informational posters,Electrical Technology
1112023 18:02:48,student323@gmail.com,student,stud,323,student323@gmail.comstudent323,Central High School,SICTC Information Meeting at High School,Electrical Technology
1112023 18:34:56,student324@gmail.com,student,stud,324,student324@gmail.comstudent324,Reitz High School,"High school counselor, Friend and Family Member",Electrical Technology
1112023 18:29:48,student325@gmail.com,student,stud,325,student325@gmail.comstudent325,Reitz High School,High school counselor,Electrical Technology
1112023 18:53:09,student326@gmail.com,student,stud,326,student326@gmail.comstudent326,Gibson Southern High School,SICTC Information Meeting at High School,Electrical Technology
1112023 17:50:21,student327@gmail.com,student,stud,327,student327@gmail.comstudent327,North High School,High school counselor,Electrical Technology
1112023 18:22:45,student328@gmail.com,student,stud,328,student328@gmail.comstudent328,Memorial High School,High school counselor,Electrical Technology
1112023 18:21:08,student329@gmail.com,student,stud,329,student329@gmail.comstudent329,Mater Dei High School,"High school counselor, SICTC Website",Electrical Technology
1112023 18:16:15,student330@gmail.com,student,stud,330,student330@gmail.comstudent330,Reitz High School,Facebook,Electrical Technology
1112023 18:22:54,student331@gmail.com,student,stud,331,student331@gmail.comstudent331,North High School,Friend and Family Member,Electrical Technology
1112023 18:15:56,student332@gmail.com,student,stud,332,student332@gmail.comstudent332,North High School,High school counselor,Electrical Technology
1112023 18:21:00,student333@gmail.com,student,stud,333,student333@gmail.comstudent333,Mater Dei High School,High school counselor,Electrical Technology
1112023 18:22:05,student334@gmail.com,student,stud,334,student334@gmail.comstudent334,Gibson Southern High School,"High school counselor, Facebook, Current SITCTC Student, SICTC Information Meeting at High School",Electrical Technology
1112023 19:47:24,student335@gmail.com,student,stud,335,student335@gmail.comstudent335,Mater Dei High School,"High school counselor, Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",Electrical Technology
1112023 17:58:07,student336@gmail.com,student,stud,336,student336@gmail.comstudent336,North Posey High School,High school counselor,Electrical Technology
1112023 18:01:12,student337@gmail.com,student,stud,337,student337@gmail.comstudent337,Castle High School,SICTC Information Meeting at High School,Electrical Technology
1112023 18:05:57,student338@gmail.com,student,stud,338,student338@gmail.comstudent338,Castle High School,High school counselor,Electrical Technology
1112023 17:51:01,student339@gmail.com,student,stud,339,student339@gmail.comstudent339,Reitz High School,High school counselor,Electrical Technology
1112023 17:40:45,student340@gmail.com,student,stud,340,student340@gmail.comstudent340,North Posey High School,High school counselor,Electrical Technology
1112023 17:38:34,student341@gmail.com,student,stud,341,student341@gmail.comstudent341,North Posey High School,High school counselor,Electrical Technology
1112023 19:24:01,student342@gmail.com,student,stud,342,student342@gmail.comstudent342,North High School,"Informational posters, SICTC Website, Friend and Family Member",Electrical Technology
1112023 17:47:37,student343@gmail.com,student,stud,343,student343@gmail.comstudent343,Tecumseh High School,"High school counselor, Friend and Family Member, SICTC Information Meeting at High School",Electrical Technology
1112023 17:54:22,student344@gmail.com,student,stud,344,student344@gmail.comstudent344,North High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 17:41:52,student345@gmail.com,student,stud,345,student345@gmail.comstudent345,North High School,School announcement ,EngineeringArchitectural Design Technology
1112023 17:45:21,student346@gmail.com,student,stud,346,student346@gmail.comstudent346,Memorial High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:49:27,student347@gmail.com,student,stud,347,student347@gmail.comstudent347,Mater Dei High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:33:00,student348@gmail.com,student,stud,348,student348@gmail.comstudent348,Gibson Southern High School,,EngineeringArchitectural Design Technology
1112023 17:51:00,student349@gmail.com,student,stud,349,student349@gmail.comstudent349,Mater Dei High School,"High school counselor, SICTC Website",Building Construction Technology
1112023 17:22:13,student350@gmail.com,student,stud,350,student350@gmail.comstudent350,Boonville High School,High school counselor,Welding Technology
1122023 17:22:13,student351@gmail.com,student,stud,351,student351@gmail.comstudent351,Boonville High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:51:00,student352@gmail.com,student,stud,352,student352@gmail.comstudent352,Mater Dei High School,"High school counselor, SICTC Website",EngineeringArchitectural Design Technology
1132023 17:22:13,student353@gmail.com,student,stud,353,student353@gmail.comstudent353,Boonville High School,High school counselor,Building Construction Technology
1112023 17:47:46,student354@gmail.com,student,stud,354,student354@gmail.comstudent354,Reitz High School,"High school counselor, Current SITCTC Student",Welding Technology
1122023 17:47:46,student355@gmail.com,student,stud,355,student355@gmail.comstudent355,Reitz High School,"High school counselor, Current SITCTC Student",EngineeringArchitectural Design Technology
1132023 17:47:46,student356@gmail.com,student,stud,356,student356@gmail.comstudent356,Reitz High School,"High school counselor, Current SITCTC Student",Automotive Service Technology
1112023 18:18:46,student357@gmail.com,student,stud,357,student357@gmail.comstudent357,Tecumseh High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 18:23:00,student358@gmail.com,student,stud,358,student358@gmail.comstudent358,Tecumseh High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 17:47:04,student359@gmail.com,student,stud,359,student359@gmail.comstudent359,Boonville High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 17:23:45,student360@gmail.com,student,stud,360,student360@gmail.comstudent360,Boonville High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:03:33,student361@gmail.com,student,stud,361,student361@gmail.comstudent361,Boonville High School,"High school counselor, Friend and Family Member",EngineeringArchitectural Design Technology
1112023 17:50:24,student362@gmail.com,student,stud,362,student362@gmail.comstudent362,New Tech Institute,Informational posters,EngineeringArchitectural Design Technology
1112023 17:56:43,student363@gmail.com,student,stud,363,student363@gmail.comstudent363,North High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 18:29:24,student364@gmail.com,student,stud,364,student364@gmail.comstudent364,North High School,"SICTC Alumni, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 19:21:08,student365@gmail.com,student,stud,365,student365@gmail.comstudent365,Gibson Southern High School,Friend and Family Member,EngineeringArchitectural Design Technology
1112023 18:08:51,student366@gmail.com,student,stud,366,student366@gmail.comstudent366,North High School,"Current SITCTC Student, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 18:37:31,student367@gmail.com,student,stud,367,student367@gmail.comstudent367,Reitz High School,"High school counselor, Current SITCTC Student",EngineeringArchitectural Design Technology
1112023 17:56:40,student368@gmail.com,student,stud,368,student368@gmail.comstudent368,North High School,,EngineeringArchitectural Design Technology
1112023 17:57:19,student369@gmail.com,student,stud,369,student369@gmail.comstudent369,North High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 18:16:42,student370@gmail.com,student,stud,370,student370@gmail.comstudent370,Gibson Southern High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:51:04,student371@gmail.com,student,stud,371,student371@gmail.comstudent371,Mater Dei High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:00:06,student372@gmail.com,student,stud,372,student372@gmail.comstudent372,Evansville Christian School,Friend and Family Member,EngineeringArchitectural Design Technology
1112023 17:47:19,student373@gmail.com,student,stud,373,student373@gmail.comstudent373,North High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:49:59,student374@gmail.com,student,stud,374,student374@gmail.comstudent374,Tecumseh High School,"High school counselor, Friend and Family Member",EngineeringArchitectural Design Technology
1112023 18:05:04,student375@gmail.com,student,stud,375,student375@gmail.comstudent375,North High School,Informational posters,EngineeringArchitectural Design Technology
1112023 18:19:40,student376@gmail.com,student,stud,376,student376@gmail.comstudent376,North High School,Informational posters,EngineeringArchitectural Design Technology
1112023 17:47:49,student377@gmail.com,student,stud,377,student377@gmail.comstudent377,Memorial High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:40:25,student378@gmail.com,student,stud,378,student378@gmail.comstudent378,Princeton High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:31:20,student379@gmail.com,student,stud,379,student379@gmail.comstudent379,Gibson Southern High School,,EngineeringArchitectural Design Technology
1112023 17:13:34,student380@gmail.com,student,stud,380,student380@gmail.comstudent380,Wood Memorial High School,"High school counselor, Informational posters, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 17:41:05,student381@gmail.com,student,stud,381,student381@gmail.comstudent381,Wood Memorial High School,"High school counselor, Informational posters, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 17:35:29,student382@gmail.com,student,stud,382,student382@gmail.comstudent382,North High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 17:50:55,student383@gmail.com,student,stud,383,student383@gmail.comstudent383,North High School,SICTC Information Meeting at High School,EngineeringArchitectural Design Technology
1112023 17:44:17,student384@gmail.com,student,stud,384,student384@gmail.comstudent384,North High School,"SICTC Website, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 17:35:09,student385@gmail.com,student,stud,385,student385@gmail.comstudent385,North High School,"Informational posters, Current SITCTC Student, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 18:41:47,student386@gmail.com,student,stud,386,student386@gmail.comstudent386,Home School,Family ,EngineeringArchitectural Design Technology
1112023 18:31:40,student387@gmail.com,student,stud,387,student387@gmail.comstudent387,Castle High School,"Friend and Family Member, Current SITCTC Student",EngineeringArchitectural Design Technology
1112023 18:41:49,student388@gmail.com,student,stud,388,student388@gmail.comstudent388,Castle High School,"Friend and Family Member, Current SITCTC Student",EngineeringArchitectural Design Technology
1112023 18:20:19,student389@gmail.com,student,stud,389,student389@gmail.comstudent389,Mater Dei High School,"High school counselor, SICTC Website",EngineeringArchitectural Design Technology
1112023 17:49:44,student390@gmail.com,student,stud,390,student390@gmail.comstudent390,Reitz High School,Facebook,EngineeringArchitectural Design Technology
1112023 18:04:59,student391@gmail.com,student,stud,391,student391@gmail.comstudent391,North High School,"High school counselor, SICTC Alumni",EngineeringArchitectural Design Technology
1112023 18:19:58,student392@gmail.com,student,stud,392,student392@gmail.comstudent392,North High School,"High school counselor, SICTC Alumni",EngineeringArchitectural Design Technology
1112023 18:52:15,student393@gmail.com,student,stud,393,student393@gmail.comstudent393,Gibson Southern High School,Friend and Family Member,EngineeringArchitectural Design Technology
1112023 17:46:04,student394@gmail.com,student,stud,394,student394@gmail.comstudent394,North High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:00:41,student395@gmail.com,student,stud,395,student395@gmail.comstudent395,North High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:51:08,student396@gmail.com,student,stud,396,student396@gmail.comstudent396,Mater Dei High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:56:22,student397@gmail.com,student,stud,397,student397@gmail.comstudent397,North High School,Current SITCTC Student,EngineeringArchitectural Design Technology
1112023 18:29:46,student398@gmail.com,student,stud,398,student398@gmail.comstudent398,North High School,"Informational posters, SICTC Information Meeting at High School",EngineeringArchitectural Design Technology
1112023 18:10:55,student399@gmail.com,student,stud,399,student399@gmail.comstudent399,Reitz High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:15:31,student400@gmail.com,student,stud,400,student400@gmail.comstudent400,Reitz High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:33:04,student401@gmail.com,student,stud,401,student401@gmail.comstudent401,Reitz High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:43:18,student402@gmail.com,student,stud,402,student402@gmail.comstudent402,Reitz High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:07:37,student403@gmail.com,student,stud,403,student403@gmail.comstudent403,North High School,Friend and Family Member,EngineeringArchitectural Design Technology
1112023 17:59:41,student404@gmail.com,student,stud,404,student404@gmail.comstudent404,Castle High School,High school counselor,EngineeringArchitectural Design Technology
1112023 18:29:34,student405@gmail.com,student,stud,405,student405@gmail.comstudent405,Princeton High School,"High school counselor, Informational posters, Friend and Family Member",EngineeringArchitectural Design Technology
1112023 17:43:17,student406@gmail.com,student,stud,406,student406@gmail.comstudent406,Harrison High School,High school counselor,EngineeringArchitectural Design Technology
1112023 17:26:27,student407@gmail.com,student,stud,407,student407@gmail.comstudent407,North High School,SICTC Website,Health Science: Pre-Professional 
1112023 17:26:27,student408@gmail.com,student,stud,408,student408@gmail.comstudent408,North High School,SICTC Website,Health Science Exercise Science
1112023 17:31:29,student409@gmail.com,student,stud,409,student409@gmail.comstudent409,Castle High School,"High school counselor, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Health Science Exercise Science
1112023 17:28:16,student410@gmail.com,student,stud,410,student410@gmail.comstudent410,North High School,"Informational posters, Instagram, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Health Science Exercise Science
1112023 17:53:40,student411@gmail.com,student,stud,411,student411@gmail.comstudent411,Reitz High School,High school counselor,Health Science Exercise Science
1112023 17:23:18,student412@gmail.com,student,stud,412,student412@gmail.comstudent412,Gibson Southern High School,Friend and Family Member,Health Science Exercise Science
1112023 17:36:54,student413@gmail.com,student,stud,413,student413@gmail.comstudent413,Castle High School,"High school counselor, SICTC Website, Friend and Family Member, Current SITCTC Student",Health Science Exercise Science
1112023 17:14:24,student414@gmail.com,student,stud,414,student414@gmail.comstudent414,North Posey High School,"SICTC Website, Friend and Family Member, SICTC Alumni",Health Science Exercise Science
1112023 18:15:55,student415@gmail.com,student,stud,415,student415@gmail.comstudent415,Tecumseh High School,High school counselor,Graphic Communications  Digital Media
1112023 17:48:46,student416@gmail.com,student,stud,416,student416@gmail.comstudent416,New Tech Institute,Informational posters,Graphic Communications  Digital Media
1112023 18:09:34,student417@gmail.com,student,stud,417,student417@gmail.comstudent417,Gibson Southern High School,Friend and Family Member,Graphic Communications  Digital Media
1112023 18:22:05,student418@gmail.com,student,stud,418,student418@gmail.comstudent418,Princeton High School,SICTC Information Meeting at High School,Graphic Communications  Digital Media
1112023 18:46:48,student419@gmail.com,student,stud,419,student419@gmail.comstudent419,Gibson Southern High School,High school counselor,Graphic Communications  Digital Media
1112023 18:51:18,student420@gmail.com,student,stud,420,student420@gmail.comstudent420,North High School,SICTC Information Meeting at High School,Graphic Communications  Digital Media
1112023 18:38:58,student421@gmail.com,student,stud,421,student421@gmail.comstudent421,Reitz High School,"High school counselor, Informational posters, SICTC Website, Friend and Family Member, SICTC Information Meeting at High School",Graphic Communications  Digital Media
1112023 18:04:44,student422@gmail.com,student,stud,422,student422@gmail.comstudent422,Castle High School,"High school counselor, School",Graphic Communications  Digital Media
1112023 17:52:35,student423@gmail.com,student,stud,423,student423@gmail.comstudent423,Harrison High School,High school counselor,Graphic Communications  Digital Media
1112023 17:52:38,student424@gmail.com,student,stud,424,student424@gmail.comstudent424,Princeton High School,SICTC Information Meeting at High School,Graphic Communications  Digital Media
1112023 18:11:21,student425@gmail.com,student,stud,425,student425@gmail.comstudent425,Gibson Southern High School,Friend and Family Member,EngineeringArchitectural Design Technology
1112023 18:11:21,student426@gmail.com,student,stud,426,student426@gmail.comstudent426,Gibson Southern High School,Friend and Family Member,Graphic Communications  Digital Media
1112023 18:11:21,student427@gmail.com,student,stud,427,student427@gmail.comstudent427,Gibson Southern High School,Friend and Family Member,Computer ScienceSoftware Development
1112023 17:10:55,student428@gmail.com,student,stud,428,student428@gmail.comstudent428,Gibson Southern High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 18:26:59,student429@gmail.com,student,stud,429,student429@gmail.comstudent429,Boonville High School,"High school counselor, Friend and Family Member, Current SITCTC Student",Health Science: Pre-Professional 
1112023 17:41:38,student430@gmail.com,student,stud,430,student430@gmail.comstudent430,Tecumseh High School,High school counselor,Health Science: Pre-Professional 
1112023 17:41:10,student431@gmail.com,student,stud,431,student431@gmail.comstudent431,Memorial High School,High school counselor,Health Science: Pre-Professional 
1112023 17:51:43,student432@gmail.com,student,stud,432,student432@gmail.comstudent432,Castle High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 17:38:15,student433@gmail.com,student,stud,433,student433@gmail.comstudent433,Castle High School,"High school counselor, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 18:12:18,student434@gmail.com,student,stud,434,student434@gmail.comstudent434,Boonville High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 18:03:01,student435@gmail.com,student,stud,435,student435@gmail.comstudent435,Castle High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 17:46:05,student436@gmail.com,student,stud,436,student436@gmail.comstudent436,Tecumseh High School,"High school counselor, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 17:39:18,student437@gmail.com,student,stud,437,student437@gmail.comstudent437,Mater Dei High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 18:29:33,student438@gmail.com,student,stud,438,student438@gmail.comstudent438,Memorial High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 17:23:57,student439@gmail.com,student,stud,439,student439@gmail.comstudent439,,,Health Science: Pre-Professional 
1112023 17:32:57,student440@gmail.com,student,stud,440,student440@gmail.comstudent440,Gibson Southern High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 17:56:36,student441@gmail.com,student,stud,441,student441@gmail.comstudent441,North High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 17:47:49,student442@gmail.com,student,stud,442,student442@gmail.comstudent442,North High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 18:12:13,student443@gmail.com,student,stud,443,student443@gmail.comstudent443,Castle High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 17:50:41,student444@gmail.com,student,stud,444,student444@gmail.comstudent444,Gibson Southern High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 18:29:23,student445@gmail.com,student,stud,445,student445@gmail.comstudent445,Mater Dei High School,"High school counselor, SICTC Website, Friend and Family Member, SICTC Alumni, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 17:29:13,student446@gmail.com,student,stud,446,student446@gmail.comstudent446,Reitz High School,,Health Science: Pre-Professional 
1112023 18:35:29,student447@gmail.com,student,stud,447,student447@gmail.comstudent447,Castle High School,High school counselor,Health Science: Pre-Professional 
1112023 17:44:26,student448@gmail.com,student,stud,448,student448@gmail.comstudent448,Memorial High School,High school counselor,Health Science: Pre-Professional 
1112023 17:10:47,student449@gmail.com,student,stud,449,student449@gmail.comstudent449,Gibson Southern High School,High school counselor,Health Science: Pre-Professional 
1112023 17:45:28,student450@gmail.com,student,stud,450,student450@gmail.comstudent450,Home School,Friend and Family Member,Health Science: Pre-Professional 
1112023 18:24:28,student451@gmail.com,student,stud,451,student451@gmail.comstudent451,North High School,"High school counselor, Informational posters, Instagram, SICTC Website",Health Science: Pre-Professional 
1112023 18:26:02,student452@gmail.com,student,stud,452,student452@gmail.comstudent452,Gibson Southern High School,"Friend and Family Member, SICTC Alumni",Health Science: Pre-Professional 
1112023 17:56:30,student453@gmail.com,student,stud,453,student453@gmail.comstudent453,North High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 17:23:13,student454@gmail.com,student,stud,454,student454@gmail.comstudent454,Reitz High School,"High school counselor, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 17:45:15,student455@gmail.com,student,stud,455,student455@gmail.comstudent455,Bosse High School,High school counselor,Health Science: Pre-Professional 
1112023 17:28:19,student456@gmail.com,student,stud,456,student456@gmail.comstudent456,Gibson Southern High School,High school counselor,Health Science: Pre-Professional 
1112023 17:39:31,student457@gmail.com,student,stud,457,student457@gmail.comstudent457,Gibson Southern High School,"Current SITCTC Student, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 17:48:39,student458@gmail.com,student,stud,458,student458@gmail.comstudent458,North High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 18:09:17,student459@gmail.com,student,stud,459,student459@gmail.comstudent459,Reitz High School,"High school counselor, Informational posters, SICTC Website, Friend and Family Member, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 18:20:53,student460@gmail.com,student,stud,460,student460@gmail.comstudent460,Reitz High School,High school counselor,Health Science Exercise Science
1112023 17:39:19,student461@gmail.com,student,stud,461,student461@gmail.comstudent461,,,Health Science Exercise Science
1112023 17:39:37,student462@gmail.com,student,stud,462,student462@gmail.comstudent462,Gibson Southern High School,Friend and Family Member,Health Science Exercise Science
1112023 17:41:18,student463@gmail.com,student,stud,463,student463@gmail.comstudent463,Gibson Southern High School,Friend and Family Member,Health Science Exercise Science
1112023 17:42:01,student464@gmail.com,student,stud,464,student464@gmail.comstudent464,Gibson Southern High School,Friend and Family Member,Health Science Exercise Science
1112023 17:43:49,student465@gmail.com,student,stud,465,student465@gmail.comstudent465,Castle High School,"High school counselor, SICTC Website, Friend and Family Member, Current SITCTC Student",Health Science Exercise Science
1112023 17:49:34,student466@gmail.com,student,stud,466,student466@gmail.comstudent466,Reitz High School,"High school counselor, Informational posters, Friend and Family Member, Current SITCTC Student",Health Science Exercise Science
1112023 19:08:40,student467@gmail.com,student,stud,467,student467@gmail.comstudent467,Central High School,"High school counselor, SICTC Website, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Health Science Exercise Science
1112023 18:26:33,student468@gmail.com,student,stud,468,student468@gmail.comstudent468,Reitz High School,Friend and Family Member,Health Science Exercise Science
1112023 17:52:39,student469@gmail.com,student,stud,469,student469@gmail.comstudent469,North High School,Friend and Family Member,Health Science Exercise Science
1112023 19:03:07,student470@gmail.com,student,stud,470,student470@gmail.comstudent470,Reitz High School,High school counselor,Health Science Exercise Science
1112023 18:09:38,student471@gmail.com,student,stud,471,student471@gmail.comstudent471,North High School,"Informational posters, Facebook, Instagram, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Health Science Exercise Science
1112023 18:34:58,student472@gmail.com,student,stud,472,student472@gmail.comstudent472,North High School,"High school counselor, Informational posters, Instagram, SICTC Website",Health Science Exercise Science
1112023 17:22:00,student473@gmail.com,student,stud,473,student473@gmail.comstudent473,North Posey High School,"SICTC Alumni, Current SITCTC Student, SICTC Information Meeting at High School",Health Science Exercise Science
1112023 18:21:57,student474@gmail.com,student,stud,474,student474@gmail.comstudent474,North High School,High school counselor,Health Science Exercise Science
1112023 17:40:28,student475@gmail.com,student,stud,475,student475@gmail.comstudent475,Gibson Southern High School,"Current SITCTC Student, SICTC Information Meeting at High School",Health Science Exercise Science
1112023 17:40:04,student476@gmail.com,student,stud,476,student476@gmail.comstudent476,Gibson Southern High School,College and Careers Day,Welding Technology
1112023 17:40:04,student477@gmail.com,student,stud,477,student477@gmail.comstudent477,Gibson Southern High School,College and Careers Day,Culinary Arts
1112023 17:40:04,student478@gmail.com,student,stud,478,student478@gmail.comstudent478,Gibson Southern High School,College and Careers Day,Health Science: Pre-Professional 
1112023 18:19:48,student479@gmail.com,student,stud,479,student479@gmail.comstudent479,Castle High School,SICTC Information Meeting at High School,Public Safety  Criminal Justice
1112023 17:50:07,student480@gmail.com,student,stud,480,student480@gmail.comstudent480,Harrison High School,High school counselor,Health Science: Pre-Professional 
1112023 17:25:01,student481@gmail.com,student,stud,481,student481@gmail.comstudent481,Bosse High School,"High school counselor, ",Culinary Arts
1112023 18:32:53,student482@gmail.com,student,stud,482,student482@gmail.comstudent482,Princeton High School,"High school counselor, Informational posters, Friend and Family Member, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 18:21:58,student483@gmail.com,student,stud,483,student483@gmail.comstudent483,Reitz High School,Friend and Family Member,Health Science Exercise Science
1112023 18:24:24,student484@gmail.com,student,stud,484,student484@gmail.comstudent484,Boonville High School,"High school counselor, Friend and Family Member, SICTC Information Meeting at High School",Health Science: Pre-Professional 
1112023 17:59:41,student485@gmail.com,student,stud,485,student485@gmail.comstudent485,North High School,"High school counselor, Instagram, SICTC Website",Health Science Exercise Science
1112023 17:59:41,student486@gmail.com,student,stud,486,student486@gmail.comstudent486,North High School,"High school counselor, Instagram, SICTC Website",Health Science: Pre-Professional 
1112023 17:34:08,student487@gmail.com,student,stud,487,student487@gmail.comstudent487,Mater Dei High School,High school counselor,Health Science: Pre-Professional 
1112023 17:41:25,student488@gmail.com,student,stud,488,student488@gmail.comstudent488,Home School,Friend and Family Member,Health Science: Pre-Professional 
1112023 17:46:49,student489@gmail.com,student,stud,489,student489@gmail.comstudent489,Gibson Southern High School,"SICTC Website, Friend and Family Member",Health Science: Pre-Professional 
1112023 17:56:45,student490@gmail.com,student,stud,490,student490@gmail.comstudent490,Gibson Southern High School,"Friend and Family Member, SICTC Alumni, Current SITCTC Student",Health Science: Pre-Professional 
1112023 17:28:57,student491@gmail.com,student,stud,491,student491@gmail.comstudent491,Gibson Southern High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 18:27:37,student492@gmail.com,student,stud,492,student492@gmail.comstudent492,Gibson Southern High School,"Friend and Family Member, SICTC Alumni, Current SITCTC Student",Health Science Exercise Science
1112023 17:50:29,student493@gmail.com,student,stud,493,student493@gmail.comstudent493,Memorial High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 17:07:42,student494@gmail.com,student,stud,494,student494@gmail.comstudent494,Gibson Southern High School,High school counselor,Health Science: Pre-Professional 
1112023 18:13:56,student495@gmail.com,student,stud,495,student495@gmail.comstudent495,Princeton High School,school field trip ,Health Science: Pre-Professional 
1112023 17:45:31,student496@gmail.com,student,stud,496,student496@gmail.comstudent496,Mater Dei High School,"High school counselor, Friend and Family Member, Current SITCTC Student, SICTC Information Meeting at High School",Veterinary Sciences
1112023 17:40:05,student497@gmail.com,student,stud,497,student497@gmail.comstudent497,Castle High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 17:40:11,student498@gmail.com,student,stud,498,student498@gmail.comstudent498,Castle High School,SICTC Information Meeting at High School,Health Science: Pre-Professional 
1112023 18:32:02,student499@gmail.com,student,stud,499,student499@gmail.comstudent499,Castle High School,High school counselor,Health Science: Pre-Professional 
1112023 17:35:39,student500@gmail.com,student,stud,500,student500@gmail.comstudent500,Mater Dei High School,Friend and Family Member,Health Science: Pre-Professional 
1112023 18:19:48,student501@gmail.com,student,stud,501,student501@gmail.comstudent501,Castle High School,SICTC Information Meeting at High School,Health Science Exercise Science
1112023 17:17:15,student502@gmail.com,student,stud,502,student502@gmail.comstudent502,Mater Dei High School,"Friend and Family Member, my dad works here",Public Safety  Criminal Justice
1112023 17:30:32,student503@gmail.com,student,stud,503,student503@gmail.comstudent503,Castle High School,High school counselor,HVAC-R and Energy Systems
1112023 17:46:15,student504@gmail.com,student,stud,504,student504@gmail.comstudent504,Tecumseh High School,"High school counselor, SICTC Information Meeting at High School",HVAC-R and Energy Systems
